"ID odpowiedzi","Data wysłania","Ostatnia strona","Język początkowy","Nasienie","W celu zatroszczenia się o najwyższy standard badania i bezpieczeństwo uczestników. Przygotowałem tę świadomą zgodę na udział w badaniu. Pokrywa się ona zgodnie ze standardem 3.10 stowarzyszenia APA [Czas wypełnienia ankiety wynosi około 5 min]","W celu zatroszczenia się o najwyższy standard badania i bezpieczeństwo uczestników. Przygotowałem tę świadomą zgodę na udział w badaniu. Pokrywa się ona zgodnie ze standardem 3.10 stowarzyszenia APA [Ankieta polega na odpowiedzi na różne pytania]","W celu zatroszczenia się o najwyższy standard badania i bezpieczeństwo uczestników. Przygotowałem tę świadomą zgodę na udział w badaniu. Pokrywa się ona zgodnie ze standardem 3.10 stowarzyszenia APA [Ankietowany nie ponosi żadnych konsekwencji jeśli odmówi wypełniania ankiety lub się wycofa]","W celu zatroszczenia się o najwyższy standard badania i bezpieczeństwo uczestników. Przygotowałem tę świadomą zgodę na udział w badaniu. Pokrywa się ona zgodnie ze standardem 3.10 stowarzyszenia APA [Ankietowany nie jest narażony na żadne RYZYKO oraz DYSKOMFORT związane z udziałem w badaniu]","W celu zatroszczenia się o najwyższy standard badania i bezpieczeństwo uczestników. Przygotowałem tę świadomą zgodę na udział w badaniu. Pokrywa się ona zgodnie ze standardem 3.10 stowarzyszenia APA [Udział w ankiecie pozwala na doświadczenie procesu naukowego badania treści reklam]","W celu zatroszczenia się o najwyższy standard badania i bezpieczeństwo uczestników. Przygotowałem tę świadomą zgodę na udział w badaniu. Pokrywa się ona zgodnie ze standardem 3.10 stowarzyszenia APA [Udział w ankiecie jest anonimowy]","W celu zatroszczenia się o najwyższy standard badania i bezpieczeństwo uczestników. Przygotowałem tę świadomą zgodę na udział w badaniu. Pokrywa się ona zgodnie ze standardem 3.10 stowarzyszenia APA [W razie pytań można się kontaktować z osobą odpowiedzialną za te badanie pod adresem khryniewichill@gmail.com]","W celach opisowych ankietowanej próby potrzebuję kilka demograficznych informacji.   Podaj swoją płeć","Jakie masz wykształcenie?","Ile masz lat?","Podaj swój stan cywilny","Czy lubisz oglądać reklamy?","W mojej pracy badawczej interesuje mnie to co ludzie chcieliby oglądać w reklamach produktów.  Na przykładzie reklamy marchwi chciałbym poprosić Cię o Twoją opinię na temat tego co byś chciał lub chciała zobaczyć w reklamie marchwi.  Oddaj się chwili fantazji i opisz kilka pierwszych myśli które przychodzą Ci do głowy na temat rzeczy które chciałbyś lub chciałbyś oglądać na reklamie marchwi.  Na ten temat nie ma myśli dobrych i złych. Chodzi o Twoje wolne myśli, skojarzenia, a one rządzą się dowolnością.  Poniższe pytania mogą stanowić dla Ciebie inspiracje do myślenia    Pyt 1: Co byś chciał/a oglądać na reklamach marchwi?  Pyt 2: Jaki miałaby mieć przekaz reklama marchwi?  Pyt 3: Co chciałbyś/abyś by w reklamie marchwi się działo?  Pyt 4: Co byś chciał/a w w takiej reklamie zobaczyć?  Pyt 5: Jakie wartości lub idee miałaby przekazywać reklama promująca marchew? [Odp1]","W mojej pracy badawczej interesuje mnie to co ludzie chcieliby oglądać w reklamach produktów.  Na przykładzie reklamy marchwi chciałbym poprosić Cię o Twoją opinię na temat tego co byś chciał lub chciała zobaczyć w reklamie marchwi.  Oddaj się chwili fantazji i opisz kilka pierwszych myśli które przychodzą Ci do głowy na temat rzeczy które chciałbyś lub chciałbyś oglądać na reklamie marchwi.  Na ten temat nie ma myśli dobrych i złych. Chodzi o Twoje wolne myśli, skojarzenia, a one rządzą się dowolnością.  Poniższe pytania mogą stanowić dla Ciebie inspiracje do myślenia    Pyt 1: Co byś chciał/a oglądać na reklamach marchwi?  Pyt 2: Jaki miałaby mieć przekaz reklama marchwi?  Pyt 3: Co chciałbyś/abyś by w reklamie marchwi się działo?  Pyt 4: Co byś chciał/a w w takiej reklamie zobaczyć?  Pyt 5: Jakie wartości lub idee miałaby przekazywać reklama promująca marchew? [Odp2]","W mojej pracy badawczej interesuje mnie to co ludzie chcieliby oglądać w reklamach produktów.  Na przykładzie reklamy marchwi chciałbym poprosić Cię o Twoją opinię na temat tego co byś chciał lub chciała zobaczyć w reklamie marchwi.  Oddaj się chwili fantazji i opisz kilka pierwszych myśli które przychodzą Ci do głowy na temat rzeczy które chciałbyś lub chciałbyś oglądać na reklamie marchwi.  Na ten temat nie ma myśli dobrych i złych. Chodzi o Twoje wolne myśli, skojarzenia, a one rządzą się dowolnością.  Poniższe pytania mogą stanowić dla Ciebie inspiracje do myślenia    Pyt 1: Co byś chciał/a oglądać na reklamach marchwi?  Pyt 2: Jaki miałaby mieć przekaz reklama marchwi?  Pyt 3: Co chciałbyś/abyś by w reklamie marchwi się działo?  Pyt 4: Co byś chciał/a w w takiej reklamie zobaczyć?  Pyt 5: Jakie wartości lub idee miałaby przekazywać reklama promująca marchew? [Odp3]","W mojej pracy badawczej interesuje mnie to co ludzie chcieliby oglądać w reklamach produktów.  Na przykładzie reklamy marchwi chciałbym poprosić Cię o Twoją opinię na temat tego co byś chciał lub chciała zobaczyć w reklamie marchwi.  Oddaj się chwili fantazji i opisz kilka pierwszych myśli które przychodzą Ci do głowy na temat rzeczy które chciałbyś lub chciałbyś oglądać na reklamie marchwi.  Na ten temat nie ma myśli dobrych i złych. Chodzi o Twoje wolne myśli, skojarzenia, a one rządzą się dowolnością.  Poniższe pytania mogą stanowić dla Ciebie inspiracje do myślenia    Pyt 1: Co byś chciał/a oglądać na reklamach marchwi?  Pyt 2: Jaki miałaby mieć przekaz reklama marchwi?  Pyt 3: Co chciałbyś/abyś by w reklamie marchwi się działo?  Pyt 4: Co byś chciał/a w w takiej reklamie zobaczyć?  Pyt 5: Jakie wartości lub idee miałaby przekazywać reklama promująca marchew? [Odp4]","W mojej pracy badawczej interesuje mnie to co ludzie chcieliby oglądać w reklamach produktów.  Na przykładzie reklamy marchwi chciałbym poprosić Cię o Twoją opinię na temat tego co byś chciał lub chciała zobaczyć w reklamie marchwi.  Oddaj się chwili fantazji i opisz kilka pierwszych myśli które przychodzą Ci do głowy na temat rzeczy które chciałbyś lub chciałbyś oglądać na reklamie marchwi.  Na ten temat nie ma myśli dobrych i złych. Chodzi o Twoje wolne myśli, skojarzenia, a one rządzą się dowolnością.  Poniższe pytania mogą stanowić dla Ciebie inspiracje do myślenia    Pyt 1: Co byś chciał/a oglądać na reklamach marchwi?  Pyt 2: Jaki miałaby mieć przekaz reklama marchwi?  Pyt 3: Co chciałbyś/abyś by w reklamie marchwi się działo?  Pyt 4: Co byś chciał/a w w takiej reklamie zobaczyć?  Pyt 5: Jakie wartości lub idee miałaby przekazywać reklama promująca marchew? [Odp5]","Jeśli chcesz wziąć udział w losowaniu upominków za udział w ankiecie kliknij Tak ten LINK (jeśli nie działa, to przeklej go do przeglądarki http://superleopard.nazwa.pl/lime/index.php/939311?lang=pl)     Bardzo dziękuję za Twój niezwykle cenny czas :)  Daj znać w komentarzu czy ankieta Ci się podobała, możesz tym zachęcić innych do wypełniania! Pamiętaj! Dobro wraca!   Życzę Ci wszystkiego dobrego!  Pozdrawiam,  Konrad."
"1","","2","pl","1748130694","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Kobieta","Podstawowe","32","Singiel","Tak","","","","","","N/A"
"2","","1","pl","1482071448","Nie jestem świadom/a","Nie jestem świadom/a","Nie jestem świadom/a","Nie jestem świadom/a","Nie jestem świadom/a","Nie jestem świadom/a","Nie jestem świadom/a","N/A","","","","N/A","","","","","","N/A"
"3","","2","pl","1451414458","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Kobieta","Średnie","19","W związku formalnym/nieformalnym","Nie","","","","","","N/A"
"4","","2","pl","279183842","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","N/A","Średnie","20","Singiel","Nie","","","","","","N/A"
"6","","","pl","1561368216","","","","","","","","N/A","","","","N/A","","","","","","N/A"
"7","","3","pl","1245095260","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","N/A","Średnie","20","W związku formalnym/nieformalnym","Tak","Rolników uprawiających w dobrych ,ekologicznych warunkach marchew","Zachęcać ludzi do kupowania marchwi ","Uprawa marchwi ,zobrazowania jakich witamin i korzyści może dostarczac to warzywo ","Rolników pielegnujacych marchew , dzieci które zamiast slodyczy wybieraja zdrowy tryb życia ","Uświadamiać ludzi o korzyściach jakie niesie za sobą kupno marchewek np. Źródło witamin","N/A"
"8","","3","pl","1979161477","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","N/A","Wyższe","22","Singiel","Nie","Dzieci","Zdrowe nawyki ","Żeby marchewki mówily zjedz mnie , A dzieci by je zjadły ","Gadające marchewki ","Zdrowe tryb życia ","N/A"
"9","","3","pl","267408557","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Kobieta","Średnie","19","Singiel","Tak","Zbieranie marchwi","Pokazanie, że marchew jest zbierana w Polsce, że uprawa jest ekologiczna ","Zbieranie jej, jakieś ciekawe informacje na temat zbioru","Na pewno proces zbierania marchewki i kilka słów od właściciela uprawy","Powinna zachęcać do zdrowego sposobu odżywiania itp","N/A"
"10","","2","pl","370456465","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Kobieta","Średnie","18","Singiel","Nie","","","","","","N/A"
"11","","","pl","870801793","","","","","","","","N/A","","","","N/A","","","","","","N/A"
"12","","3","pl","1343341871","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Kobieta","Średnie","19","W związku formalnym/nieformalnym","Nie","Coś estetycznego, artystycznego i nieszablonowego","Zapewne przeciągnięcie zainteresowania tematem, nie wiem","Tak jak w odp1, reklama powinna być zaskakująca, nieszablonowa, w moim guście byłoby coś minimalistycznego, związanego ze sztuką nowoczesną ","Dobrą reżyserię, muzykę, fajne ujęcia","Przekazywać co może potencjalnemu odbiorcy dać jedzenie marchwi (lub robienie z nią czegokolwiek innego)","N/A"
"13","","3","pl","1211991436","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","N/A","Średnie","24","Singiel","Tak","Marchew","Zachęcający do spożycia marchwi, ale nie zmuszający","Nie było zbyt dużo treści przekazywanych w krótkim czasie.","Propozycje sposobów spożywania marchwi","Zachęcające do zakupu i spożycia marchwi","N/A"
"14","","2","pl","847851396","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Kobieta","Wyższe","23","W związku formalnym/nieformalnym","Nie","","","","","","N/A"
"15","1980-01-01 00:00:00","4","pl","602074088","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Kobieta","Wyższe","23","Singiel","Nie","Kolorystykę, która nie boli w oczy i czytelny komunikat. Dobrą typografię ","Zwrócenie uwagi na jej zalety, podkreślając cenę i wartości odżywcze. Wpleść to w narrację o zbilansowanej diecie etc. ","Nie do końca wiem co chciałabym by się działo, wiem za to, czego bym nie chciała. Myślę tu o przerobionych piosenkach, krzykliwości i uderzaniu w infantylny humor. ","Rzetelny komunikat, który zachęca do kupienia, nie zaś taki bazujący na melodii, która wbija się w mózg konsumenta lub piszczących animowanych postaci. ","Zdrowe odżywianie, korzyści dla organizmu, zalety ekonomiczne zakupu. ","N/A"
"16","","2","pl","1481327137","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","N/A","Wyższe","27","W związku formalnym/nieformalnym","Nie","","","","","","N/A"
"17","","2","pl","2052393415","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Kobieta","Wyższe","21","Singiel","Nie","","","","","","N/A"
"18","","2","pl","383993213","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","N/A","Wyższe","21","Singiel","Nie","","","","","","N/A"
"19","","2","pl","782055228","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Kobieta","Średnie","19","Singiel","Tak","","","","","","N/A"
"20","","3","pl","1056923953","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Mężczyzna","Średnie","19","Singiel","Nie","Ładne widoczki marchewki na łonie natury","Bogate w witaminy i zdrowe właściwości","Bogata akcja","Konkretną treść odnośnie marchewki","Zdrowe odżywianie i właściwości marchewek","N/A"
"21","","2","pl","870016163","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Nie jestem świadom/a","Jestem świadom/a","Mężczyzna","Średnie","20","Singiel","Nie","","","","","","N/A"
"22","","2","pl","1630138121","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Kobieta","Wyższe","24","W związku formalnym/nieformalnym","Nie","","","","","","N/A"
"23","","2","pl","1062184154","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","Jestem świadom/a","N/A","Wyższe","25","W związku formalnym/nieformalnym","Nie","","","","","","N/A"
